IsCapture,IsPromotion,MaterialCaptured,Capturable,Sacrifice,MaterialSacrificed,TEval,EvalOC,CaptureOC,DEval,WhiteElo,BlackElo,MovePlayed
False,False,0,False,False,0,121,-9879,9,121,2153,2187,0
False,False,0,False,False,0,33,-9967,9,33,2153,2187,0
False,False,0,False,False,0,55,-9945,9,55,2153,2187,0
False,False,0,False,False,0,104,-9896,9,104,2153,2187,0
False,False,0,False,False,0,59,-9941,9,59,2153,2187,0
False,False,0,False,False,0,51,-9949,9,51,2153,2187,0
False,False,0,False,False,0,125,-9875,9,125,2153,2187,0
False,False,0,False,False,0,33,-9967,9,33,2153,2187,0
False,False,0,False,False,0,52,-9948,9,52,2153,2187,0
False,False,0,False,False,0,40,-9960,9,40,2153,2187,0
False,False,0,False,False,0,50,-9950,9,50,2153,2187,0
False,False,0,False,False,0,60,-9940,9,60,2153,2187,0
False,False,0,False,False,0,108,-9892,9,108,2153,2187,0
False,False,0,True,True,1,164,-9836,9,164,2153,2187,0
False,False,0,False,False,0,55,-9945,9,55,2153,2187,0
False,False,0,True,True,1,137,-9863,9,137,2153,2187,0
False,False,0,False,False,0,26,-9974,9,26,2153,2187,0
False,False,0,False,False,0,31,-9969,9,31,2153,2187,0
False,False,0,False,False,0,78,-9922,9,78,2153,2187,0
False,False,0,False,False,0,81,-9919,9,81,2153,2187,0
False,False,0,False,False,0,-101,-10101,9,-101,2153,2187,0
False,False,0,False,False,0,-74,-10074,9,-74,2153,2187,0
False,False,0,False,False,0,-124,-10124,9,-124,2153,2187,0
False,False,0,False,False,0,-108,-10108,9,-108,2153,2187,0
False,False,0,False,False,0,-86,-10086,9,-86,2153,2187,0
False,False,0,False,False,0,-82,-10082,9,-82,2153,2187,0
False,False,0,False,False,0,-12,-10012,9,-12,2153,2187,0
False,False,0,False,False,0,-25,-10025,9,-25,2153,2187,0
False,False,0,True,False,1,-3,-10003,9,-3,2153,2187,0
False,False,0,False,False,0,19,-9981,9,19,2153,2187,0
False,False,0,False,False,0,11,-9989,9,11,2153,2187,0
False,False,0,False,False,0,-22,-10022,9,-22,2153,2187,0
False,False,0,False,False,0,0,-10000,9,0,2153,2187,0
False,False,0,False,False,0,-1,-10001,9,-1,2153,2187,0
False,False,0,False,False,0,2,-9998,9,2,2153,2187,0
False,False,0,False,False,0,-46,-10046,9,-46,2153,2187,0
False,False,0,True,True,1,-179,-10179,9,-179,2153,2187,0
False,False,0,True,True,1,-94,-10094,9,-94,2153,2187,0
False,False,0,False,False,0,21,-9979,9,21,2153,2187,0
False,False,0,True,True,1,0,-10000,9,0,2153,2187,0
False,False,0,False,False,0,-21,-10021,9,-21,2153,2187,0
False,False,0,False,False,0,-24,-10024,9,-24,2153,2187,0
False,False,0,False,False,0,166,-9834,9,166,2153,2187,0
False,False,0,False,False,0,76,-9924,9,76,2153,2187,0
False,False,0,False,False,0,276,-9724,9,276,2153,2187,0
False,False,0,False,False,0,160,-9840,9,160,2153,2187,0
False,False,0,False,False,0,180,-9820,9,180,2153,2187,0
False,False,0,False,False,0,181,-9819,9,181,2153,2187,0
False,False,0,False,False,0,81,-9919,9,81,2153,2187,0
False,False,0,False,False,0,108,-9892,9,108,2153,2187,0
False,False,0,False,False,0,103,-9897,9,103,2153,2187,0
False,False,0,True,False,3,477,-9523,9,477,2153,2187,0
False,False,0,False,False,0,192,-9808,9,192,2153,2187,0
False,False,0,False,False,0,148,-9852,9,148,2153,2187,0
False,False,0,False,False,0,183,-9817,9,183,2153,2187,0
True,False,1,False,False,0,38,-9962,8,38,2153,2187,0
False,False,0,False,False,0,135,-9865,9,135,2153,2187,0
False,False,0,False,False,0,112,-9888,9,112,2153,2187,0
False,False,0,False,False,0,173,-9827,9,173,2153,2187,0
False,False,0,False,False,0,28,-9972,9,28,2153,2187,0
False,False,0,False,False,0,40,-9960,9,40,2153,2187,0
False,False,0,False,False,0,159,-9841,9,159,2153,2187,0
False,False,0,False,False,0,115,-9885,9,115,2153,2187,0
False,False,0,True,True,1,11,-9989,9,11,2153,2187,0
False,False,0,False,False,0,137,-9863,9,137,2153,2187,0
False,False,0,True,True,1,132,-9868,9,132,2153,2187,0
False,False,0,False,False,0,123,-9877,9,123,2153,2187,0
False,False,0,True,True,1,98,-9902,9,98,2153,2187,0
False,False,0,False,False,0,107,-9893,9,107,2153,2187,0
False,False,0,True,True,1,150,-9850,9,150,2153,2187,0
False,False,0,False,False,0,130,-9870,9,130,2153,2187,0
False,False,0,False,False,0,-99,-10099,9,-99,2153,2187,0
False,False,0,False,False,0,-41,-10041,9,-41,2153,2187,0
False,False,0,False,False,0,-108,-10108,9,-108,2153,2187,0
False,False,0,False,False,0,-150,-10150,9,-150,2153,2187,0
False,False,0,False,False,0,-65,-10065,9,-65,2153,2187,0
False,False,0,False,False,0,-69,-10069,9,-69,2153,2187,0
False,False,0,False,False,0,16,-9984,9,16,2153,2187,0
False,False,0,False,False,0,-15,-10015,9,-15,2153,2187,0
False,False,0,False,False,0,6,-9994,9,6,2153,2187,0
False,False,0,False,False,0,-32,-10032,9,-32,2153,2187,0
False,False,0,False,False,0,-9,-10009,9,-9,2153,2187,0
True,False,1,True,True,1,18,-9982,8,18,2153,2187,0
False,False,0,False,False,0,-69,-10069,9,-69,2153,2187,0
False,False,0,True,False,1,12,-9988,9,12,2153,2187,0
False,False,0,False,False,0,26,-9974,9,26,2153,2187,0
False,False,0,False,False,0,24,-9976,9,24,2153,2187,0
False,False,0,False,False,0,-33,-10033,9,-33,2153,2187,0
False,False,0,False,False,0,10,-9990,9,10,2153,2187,0
False,False,0,False,False,0,8,-9992,9,8,2153,2187,0
False,False,0,False,False,0,-36,-10036,9,-36,2153,2187,0
False,False,0,True,True,1,-137,-10137,9,-137,2153,2187,0
False,False,0,True,True,1,-126,-10126,9,-126,2153,2187,0
False,False,0,False,False,0,24,-9976,9,24,2153,2187,0
False,False,0,False,False,0,-48,-10048,9,-48,2153,2187,0
False,False,0,False,False,0,-18,-10018,9,-18,2153,2187,0
False,False,0,False,False,0,106,-9894,9,106,2153,2187,0
False,False,0,False,False,0,11,-9989,9,11,2153,2187,0
False,False,0,False,False,0,206,-9794,9,206,2153,2187,0
False,False,0,False,False,0,58,-9942,9,58,2153,2187,0
False,False,0,False,False,0,106,-9894,9,106,2153,2187,0
False,False,0,False,False,0,89,-9911,9,89,2153,2187,0
False,False,0,False,False,0,80,-9920,9,80,2153,2187,0
False,False,0,True,False,9,537,-9463,9,537,2153,2187,0
False,False,0,False,False,0,45,-9955,9,45,2153,2187,0
False,False,0,False,False,0,92,-9908,9,92,2153,2187,0
False,False,0,False,False,0,86,-9914,9,86,2153,2187,0
False,False,0,False,False,0,84,-9916,9,84,2153,2187,0
False,False,0,True,False,3,439,-9561,9,439,2153,2187,0
False,False,0,False,False,0,33,-9967,9,33,2153,2187,0
False,False,0,True,False,3,138,-9862,9,138,2153,2187,0
True,False,1,True,False,1,17,-9983,8,17,2153,2187,0
False,False,0,False,False,0,70,-9930,9,70,2153,2187,0
False,False,0,False,False,0,65,-9935,9,65,2153,2187,0
False,False,0,False,False,0,128,-9872,9,128,2153,2187,0
False,False,0,False,False,0,2,-9998,9,2,2153,2187,0
False,False,0,False,False,0,146,-9854,9,146,2153,2187,0
False,False,0,True,False,1,18,-9982,9,18,2153,2187,0
False,False,0,True,True,1,19,-9981,9,19,2153,2187,0
False,False,0,False,False,0,67,-9933,9,67,2153,2187,0
False,False,0,True,True,1,84,-9916,9,84,2153,2187,0
False,False,0,False,False,0,125,-9875,9,125,2153,2187,0
False,False,0,True,True,1,70,-9930,9,70,2153,2187,0
False,False,0,True,True,1,123,-9877,9,123,2153,2187,0
False,False,0,True,False,1,115,-9885,9,115,2153,2187,0
True,False,1,True,False,9,-599,-10599,8,-599,2153,2187,0
True,False,1,True,True,9,-612,-10612,8,-612,2153,2187,0
False,False,0,True,True,9,-608,-10608,9,-608,2153,2187,0
False,False,0,True,False,9,-610,-10610,9,-610,2153,2187,0
False,False,0,True,False,9,-598,-10598,9,-598,2153,2187,0
True,False,1,False,False,0,40,-9960,8,40,2153,2187,0
False,False,0,False,False,0,-134,-10134,9,-134,2153,2187,0
False,False,0,True,False,9,-596,-10596,9,-596,2153,2187,0
False,False,0,False,False,0,-156,-10156,9,-156,2153,2187,0
False,False,0,False,False,0,-54,-10054,9,-54,2153,2187,0
False,False,0,False,False,0,-63,-10063,9,-63,2153,2187,0
False,False,0,False,False,0,-201,-10201,9,-201,2153,2187,0
False,False,0,False,False,0,-139,-10139,9,-139,2153,2187,0
False,False,0,False,False,0,-163,-10163,9,-163,2153,2187,0
False,False,0,True,False,3,-462,-10462,9,-462,2153,2187,0
False,False,0,False,False,0,-184,-10184,9,-184,2153,2187,0
False,False,0,False,False,0,-207,-10207,9,-207,2153,2187,0
False,False,0,False,False,0,-210,-10210,9,-210,2153,2187,0
False,False,0,False,False,0,-73,-10073,9,-73,2153,2187,0
False,False,0,False,False,0,-102,-10102,9,-102,2153,2187,0
False,False,0,True,False,1,-109,-10109,9,-109,2153,2187,0
False,False,0,False,False,0,-50,-10050,9,-50,2153,2187,0
False,False,0,False,False,0,-56,-10056,9,-56,2153,2187,0
False,False,0,True,True,1,-139,-10139,9,-139,2153,2187,0
False,False,0,True,False,1,-171,-10171,9,-171,2153,2187,0
False,False,0,False,False,0,-70,-10070,9,-70,2153,2187,0
False,False,0,False,False,0,-109,-10109,9,-109,2153,2187,0
False,False,0,True,True,1,-206,-10206,9,-206,2153,2187,0
False,False,0,False,False,0,-62,-10062,9,-62,2153,2187,0
False,False,0,True,False,1,-124,-10124,9,-124,2153,2187,0
False,False,0,False,False,0,-172,-10172,9,-172,2153,2187,0
False,False,0,False,False,0,119,-9881,9,119,2153,2187,0
False,False,0,False,False,0,36,-9964,9,36,2153,2187,0
False,False,0,False,False,0,387,-9613,9,387,2153,2187,0
False,False,0,False,False,0,111,-9889,9,111,2153,2187,0
False,False,0,False,False,0,62,-9938,9,62,2153,2187,0
False,False,0,False,False,0,63,-9937,9,63,2153,2187,0
False,False,0,False,False,0,79,-9921,9,79,2153,2187,0
False,False,0,True,False,9,72,-9928,9,72,2153,2187,0
False,False,0,False,False,0,43,-9957,9,43,2153,2187,0
False,False,0,True,True,9,549,-9451,9,549,2153,2187,0
False,False,0,True,True,9,589,-9411,9,589,2153,2187,0
True,False,1,True,True,9,601,-9399,8,601,2153,2187,0
False,False,0,False,False,0,74,-9926,9,74,2153,2187,0
False,False,0,True,False,3,36,-9964,9,36,2153,2187,0
False,False,0,False,False,0,44,-9956,9,44,2153,2187,0
False,False,0,True,False,3,498,-9502,9,498,2153,2187,0
False,False,0,True,False,3,496,-9504,9,496,2153,2187,0
False,False,0,False,False,0,31,-9969,9,31,2153,2187,0
False,False,0,True,False,3,68,-9932,9,68,2153,2187,0
False,False,0,False,False,0,61,-9939,9,61,2153,2187,0
False,False,0,False,False,0,47,-9953,9,47,2153,2187,0
False,False,0,False,False,0,96,-9904,9,96,2153,2187,0
